year,month,day,week,temp_2,temp_1,TAVG,Actual
2019,1,1,Tue,59,59,47,59
2019,1,2,Wed,37,59,33,37
2019,1,3,Thu,59,37,38,46
2019,1,4,Fri,37,46,40,48
2019,1,5,Sat,46,48,41,43
2019,1,6,Sun,48,43,40,47
2019,1,7,Mon,43,47,26,31
2019,1,8,Tue,47,31,34,43
2019,1,9,Wed,31,43,40,46
2019,1,10,Thu,43,46,36,37
2019,1,11,Fri,46,37,27,30
2019,1,12,Sat,37,30,20,29
2019,1,13,Sun,30,29,22,29
2019,1,14,Mon,29,29,26,31
2019,1,15,Tue,29,31,30,39
2019,1,16,Wed,31,39,32,41
2019,1,17,Thu,39,41,27,33
2019,1,18,Fri,41,33,32,43
2019,1,19,Sat,33,43,33,37
2019,1,20,Sun,43,37,30,37
2019,1,21,Mon,37,37,9,10
2019,1,22,Tue,37,10,14,28
2019,1,23,Wed,10,28,29,48
2019,1,24,Thu,28,48,52,59
2019,1,25,Fri,48,59,39,42
2019,1,26,Sat,59,42,30,36
2019,1,27,Sun,42,36,35,47
2019,1,28,Mon,36,47,34,42
2019,1,29,Tue,47,42,28,38
2019,1,30,Wed,42,38,33,39
2019,1,31,Thu,38,39,12,18
2019,2,1,Fri,39,18,16,23
2019,2,2,Sat,18,23,22,35
2019,2,3,Sun,23,35,34,39
2019,2,4,Mon,35,39,45,63
2019,2,5,Tue,39,63,51,65
2019,2,6,Wed,63,65,40,44
2019,2,7,Thu,65,44,38,42
2019,2,8,Fri,44,42,43,57
2019,2,9,Sat,42,57,31,36
2019,2,10,Sun,57,36,30,37
2019,2,11,Mon,36,37,32,37
2019,2,12,Tue,37,37,26,38
2019,2,13,Wed,37,38,38,43
2019,2,14,Thu,38,43,35,40
2019,2,15,Fri,43,40,40,52
2019,2,16,Sat,40,52,43,49
2019,2,17,Sun,52,49,30,34
2019,2,18,Mon,49,34,30,32
2019,2,19,Tue,34,32,25,34
2019,2,20,Wed,32,34,26,31
2019,2,21,Thu,34,31,34,48
2019,2,22,Fri,31,48,42,46
2019,2,23,Sat,48,46,35,38
2019,2,24,Sun,46,38,39,47
2019,2,25,Mon,38,47,39,42
2019,2,26,Tue,47,42,29,32
2019,2,27,Wed,42,32,20,26
2019,2,28,Thu,32,26,24,31
2019,3,1,Fri,26,31,29,38
2019,3,2,Sat,31,38,33,34
2019,3,3,Sun,38,34,35,41
2019,3,4,Mon,34,41,36,40
2019,3,5,Tue,41,40,26,31
2019,3,6,Wed,40,31,24,27
2019,3,7,Thu,31,27,21,30
2019,3,8,Fri,27,30,27,38
2019,3,9,Sat,30,38,34,46
2019,3,10,Sun,38,46,35,40
2019,3,11,Mon,46,40,43,50
2019,3,12,Tue,40,50,40,45
2019,3,13,Wed,50,45,36,40
2019,3,14,Thu,45,40,41,51
2019,3,15,Fri,40,51,52,64
2019,3,16,Sat,51,64,50,56
2019,3,17,Sun,64,56,38,43
2019,3,18,Mon,56,43,36,44
2019,3,19,Tue,43,44,39,48
2019,3,20,Wed,44,48,40,51
2019,3,21,Thu,48,51,43,52
2019,3,22,Fri,51,52,41,44
2019,3,23,Sat,52,44,41,48
2019,3,24,Sun,44,48,44,60
2019,3,25,Mon,48,60,47,52
2019,3,26,Tue,60,52,37,44
2019,3,27,Wed,52,44,36,41
2019,3,28,Thu,44,41,41,54
2019,3,29,Fri,41,54,49,58
2019,3,30,Sat,54,58,51,67
2019,3,31,Sun,58,67,57,70
2019,4,1,Mon,67,70,42,47
2019,4,2,Tue,70,47,42,53
2019,4,3,Wed,47,53,53,65
2019,4,4,Thu,53,65,46,53
2019,4,5,Fri,65,53,41,46
2019,4,6,Sat,53,46,52,67
2019,4,7,Sun,46,67,56,66